,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Flinders,-34.58,150.85,71.6,100,90,10.29
1,Ushuaia,-54.81,-68.31,57.2,47,40,18.34
2,Umarkot,25.37,69.74,69.63,87,56,4.97
3,Punta Arenas,-53.16,-70.91,50.0,87,90,17.22
4,Santa Rosa,-36.62,-64.29,52.62,73,0,9.66
5,Kushiro,43.11,144.15,26.6,49,20,6.93
6,Carnarvon,-30.97,22.13,62.16,39,12,4.52
7,Waingapu,-9.65,120.26,83.22,88,76,5.41
8,Hithadhoo,-0.6,73.08,81.42,100,88,1.95
9,Jamestown,-33.21,138.6,88.22,61,0,3.74
10,Hobart,-42.88,147.33,84.2,16,20,16.11
11,Marsh Harbour,26.54,-77.06,69.72,100,76,13.24
12,Porto Velho,-8.75,-63.87,75.2,88,75,2.24
13,Korsakov,46.63,142.78,21.2,57,56,11.18
14,Butaritari,3.07,172.79,85.97,99,92,9.66
15,Mataura,-46.19,168.86,57.12,62,32,17.83
16,Dombovar,46.38,18.14,25.89,78,12,11.23
17,Cape Town,-33.93,18.42,64.4,77,40,14.99
18,Hofn,64.25,-15.21,36.06,100,92,16.71
19,Tocopilla,-22.09,-70.2,58.65,100,0,1.72
20,Rikitea,-23.12,-134.97,77.01,100,100,17.83
21,Mount Gambier,-37.83,140.78,93.2,13,8,17.22
22,Yulara,-25.24,130.99,109.4,13,0,5.82
23,Port Elizabeth,39.31,-74.98,29.86,55,90,21.92
24,Saint George,39.45,22.34,35.26,80,75,8.05
25,Salalah,17.01,54.1,75.2,44,0,5.82
26,Torbay,47.66,-52.73,35.6,100,90,11.41
27,Vardo,39.62,-77.74,27.01,58,40,11.41
28,Albany,42.65,-73.75,20.73,59,90,18.34
29,Chokurdakh,70.62,147.9,-33.15,59,48,2.95
30,Busselton,-33.64,115.35,71.12,91,0,9.44
31,Jasper,33.83,-87.28,31.12,68,8,4.85
32,Qaanaaq,77.48,-69.36,-17.72,100,32,8.66
33,Dikson,73.51,80.55,-18.89,100,32,6.42
34,Grand Gaube,-20.01,57.66,84.2,74,40,12.75
35,Koumac,-20.56,164.28,75.62,100,88,3.74
36,Iguape,-24.7,-47.56,76.02,100,0,2.62
37,Yellowknife,62.45,-114.38,-7.61,76,90,12.75
38,Port Alfred,-33.59,26.89,69.36,85,48,2.62
39,Sitka,37.17,-99.65,41.1,63,36,13.69
40,Kapaa,22.08,-159.32,71.96,84,40,3.36
41,Lavrentiya,65.58,-170.99,-10.79,92,0,17.05
42,Sao Joao da Barra,-21.64,-41.05,78.45,99,68,12.8
43,Hilo,19.71,-155.08,71.06,84,75,3.36
44,Saldanha,41.42,-6.55,19.19,91,0,4.52
45,Nikolskoye,59.7,30.79,23.0,85,90,11.18
46,Tasiilaq,65.61,-37.64,19.4,79,92,11.41
47,Longyearbyen,78.22,15.63,14.0,51,75,29.97
48,Vaini,15.34,74.49,78.8,31,0,9.17
49,Luderitz,-26.65,15.16,58.7,88,0,6.42
50,Kumbo,6.21,10.69,52.85,68,0,2.95
51,Hermanus,-34.42,19.24,60.54,79,8,5.19
52,Nome,30.04,-94.42,45.79,81,1,7.2
53,Bredasdorp,-34.53,20.04,66.2,63,0,3.36
54,Shelbyville,39.41,-88.79,20.03,95,1,3.96
55,College,64.86,-147.8,-29.78,70,20,3.18
56,Mar del Plata,-46.43,-67.52,59.1,54,8,19.06
57,Margate,-43.03,147.26,84.2,16,20,16.11
58,Iqaluit,63.75,-68.52,-14.81,68,90,6.93
59,Chunoyar,57.45,97.32,2.9,46,44,8.66
60,Bonthe,7.53,-12.5,76.02,96,0,3.62
61,Sao Filipe,14.9,-24.5,72.24,97,0,13.47
62,Impfondo,1.62,18.06,73.55,92,8,2.06
63,Namatanai,-3.66,152.44,86.55,91,12,14.36
64,Georgetown,6.8,-58.16,71.6,100,20,2.24
65,Arraial do Cabo,-22.97,-42.02,75.62,92,20,14.47
66,Lebu,8.96,38.73,51.8,50,0,4.7
67,Olinda,-2.03,-79.75,75.2,94,75,8.05
68,Mahebourg,-20.41,57.7,84.2,74,40,12.75
69,Puerto Ayora,-0.74,-90.35,74.99,100,56,2.95
70,Nemuro,43.32,145.57,23.0,57,20,10.29
71,Faqirwali,29.47,73.04,61.26,97,0,5.75
72,Sidi Bin Nur,35.53,10.92,46.4,70,88,9.17
